char_len,BERTScore_DI,BERTScore_BHC,BERTScore_AVG,MEDCON_DI,MEDCON_BHC,MEDCON_AVG,ALIGN_DI,ALIGN_BHC,ALIGN_AVG,METEOR_DI,METEOR_BHC,METEOR_AVG,BLUE_DI,BLUE_BHC,BLUE_AVG,ROUGE_1_DI,ROUGE_1_BHC,ROUGE_1_AVG,ROUGE_2_DI,ROUGE_2_BHC,ROUGE_2_AVG,ROUGE_L_DI,ROUGE_L_BHC,ROUGE_L_AVG
500,0.193723049,0.231516621,0.212619835,0.209544943,0.281304324,0.245424634,0.205785184,0.19486756,0.200326372,0.182718084,0.15094248,0.166830282,0.018439804,0.012862811,0.015651308,0.261639081,0.266387607,0.264013344,0.059303588,0.060751817,0.060027703,0.165694003,0.153554486,0.159624244
700,0.173333754,0.24348019,0.208406972,0.207965667,0.29348737,0.250726518,0.208063682,0.18466411,0.196363896,0.205860313,0.18389703,0.194878671,0.018520164,0.018004043,0.018262104,0.261179659,0.290854507,0.276017083,0.056064112,0.065087136,0.060575624,0.157638518,0.15996822,0.158803369
900,0.171995632,0.248552381,0.210274006,0.213350142,0.29922175,0.256285946,0.209624538,0.181492761,0.195558649,0.225988914,0.206312879,0.216150897,0.017907136,0.019363763,0.018635449,0.264181638,0.297503603,0.28084262,0.055741693,0.064790455,0.060266074,0.152301319,0.159913598,0.156107458
1100,0.17328466,0.249275281,0.21127997,0.216996327,0.296825699,0.256911013,0.214630473,0.181788412,0.198209442,0.240099421,0.222416281,0.231257851,0.016560711,0.01953009,0.0180454,0.264536794,0.297379507,0.280958151,0.05642299,0.065018182,0.060720586,0.14824088,0.158297369,0.153269125
1300,0.175788925,0.248799722,0.212294323,0.215392513,0.293368456,0.254380485,0.214598132,0.183135044,0.198866588,0.249145798,0.233288353,0.241217076,0.0161511,0.018487749,0.017319424,0.26529711,0.294373371,0.27983524,0.0558515,0.065118811,0.060485156,0.147458418,0.15606788,0.151763149
1500,0.179009828,0.247573781,0.213291805,0.215440314,0.288303506,0.25187191,0.214461474,0.187554009,0.201007741,0.254677571,0.2402622,0.247469885,0.016532665,0.017519471,0.017026068,0.265918706,0.290313981,0.278116343,0.056697479,0.065088534,0.060893007,0.147197838,0.153290845,0.150244342
1700,0.179603651,0.24843352,0.214018586,0.213745467,0.28561992,0.249682694,0.214957738,0.188538013,0.201747875,0.256705062,0.244669033,0.250687048,0.016366705,0.016997797,0.016682251,0.265640492,0.28690387,0.276272181,0.056781797,0.065234,0.061007898,0.147022112,0.151757688,0.1493899
1900,0.179987659,0.24870182,0.21434474,0.213380011,0.282721418,0.248050714,0.215509645,0.18837879,0.201944218,0.257637952,0.246343001,0.251990477,0.016327403,0.016560147,0.016443775,0.265706173,0.284541326,0.275123749,0.056985456,0.065098262,0.061041859,0.147143134,0.150400648,0.148771891
2100,0.180076097,0.248397766,0.214236931,0.213650801,0.279995862,0.246823332,0.215250044,0.188044246,0.201647145,0.259125466,0.247542705,0.253334085,0.016396949,0.016406035,0.016401492,0.266320672,0.282696213,0.274508443,0.057289726,0.064935489,0.061112607,0.147440575,0.149591506,0.148516041
